timestamp,event,key_type
2026-08-10T09:31:12.243,press,character
2026-08-10T09:31:12.265,release,character
2026-08-10T09:31:12.351,press,character
2026-08-10T09:31:12.460,release,character
2026-08-10T09:31:12.561,press,special
2026-08-10T09:31:12.677,release,special
2026-08-10T09:31:12.995,press,character
2026-08-10T09:31:13.133,release,character
2026-08-10T09:31:13.659,press,character
2026-08-10T09:31:13.747,release,character
2026-08-10T09:31:13.837,press,special
2026-08-10T09:31:13.919,release,special
2026-08-10T09:31:14.155,press,character
2026-08-10T09:31:14.224,release,character
2026-08-10T09:31:14.327,press,special
2026-08-10T09:31:14.401,release,special
2026-08-10T09:31:14.572,press,character
2026-08-10T09:31:14.649,release,character
2026-08-10T09:31:14.688,press,character
2026-08-10T09:31:14.797,release,character
2026-08-10T09:31:14.877,press,character
2026-08-10T09:31:14.956,release,character
2026-08-10T09:31:15.053,press,character
2026-08-10T09:31:15.141,press,special
2026-08-10T09:31:15.157,release,character
2026-08-10T09:31:15.221,release,special
2026-08-10T09:31:15.440,press,character
2026-08-10T09:31:15.556,press,character
2026-08-10T09:31:15.562,release,character
2026-08-10T09:31:15.659,release,character
2026-08-10T09:31:15.739,press,character
2026-08-10T09:31:15.853,release,character
2026-08-10T09:31:15.967,press,character
2026-08-10T09:31:16.035,release,character
2026-08-10T09:31:16.090,press,character
2026-08-10T09:31:16.119,release,character
2026-08-10T09:31:16.936,press,special
2026-08-10T09:31:17.004,release,special
2026-08-10T09:31:17.103,press,special
2026-08-10T09:31:17.163,release,special
2026-08-10T09:31:17.767,press,character
2026-08-10T09:31:17.895,release,character
2026-08-10T09:31:17.940,press,character
2026-08-10T09:31:18.063,release,character
2026-08-10T09:31:18.084,press,character
2026-08-10T09:31:18.201,release,character
2026-08-10T09:31:18.342,press,character
2026-08-10T09:31:18.479,release,character
2026-08-10T09:31:18.513,press,special
2026-08-10T09:31:18.545,release,special
2026-08-10T09:31:18.793,press,character
2026-08-10T09:31:18.868,release,character
2026-08-10T09:31:19.085,press,character
2026-08-10T09:31:19.167,release,character
2026-08-10T09:31:19.307,press,character
2026-08-10T09:31:19.449,release,character
2026-08-10T09:31:19.551,press,special
2026-08-10T09:31:19.639,release,special
2026-08-10T09:31:20.179,press,character
2026-08-10T09:31:20.254,release,character
2026-08-10T09:31:20.817,press,character
2026-08-10T09:31:20.959,release,character
2026-08-10T09:31:21.179,press,character
2026-08-10T09:31:21.273,release,character
2026-08-10T09:31:21.413,press,character
2026-08-10T09:31:21.495,release,character
2026-08-10T09:31:21.773,press,character
2026-08-10T09:31:21.879,release,character
2026-08-10T09:31:22.373,press,character
2026-08-10T09:31:22.440,release,character
2026-08-10T09:31:22.596,press,character
2026-08-10T09:31:22.753,release,character
2026-08-10T09:31:23.607,press,special
2026-08-10T09:31:23.699,release,special
2026-08-10T09:31:23.799,press,special
2026-08-10T09:31:23.895,release,special
2026-08-10T09:31:24.164,press,character
2026-08-10T09:31:24.313,release,character
2026-08-10T09:31:24.791,press,character
2026-08-10T09:31:24.907,release,character
2026-08-10T09:31:25.018,press,character
2026-08-10T09:31:25.139,press,special
2026-08-10T09:31:25.160,release,character
2026-08-10T09:31:25.245,release,special
2026-08-10T09:31:25.461,press,character
2026-08-10T09:31:25.574,release,character
2026-08-10T09:31:25.710,press,character
2026-08-10T09:31:25.783,release,character
2026-08-10T09:31:26.066,press,character
2026-08-10T09:31:26.144,release,character
2026-08-10T09:31:26.216,press,character
2026-08-10T09:31:26.306,release,character
2026-08-10T09:31:26.333,press,character
2026-08-10T09:31:26.458,release,character
2026-08-10T09:31:26.481,press,character
2026-08-10T09:31:26.542,release,character
2026-08-10T09:31:26.645,press,special
2026-08-10T09:31:26.740,release,special
2026-08-10T09:31:26.835,press,character
2026-08-10T09:31:26.983,release,character
2026-08-10T09:31:27.007,press,character
2026-08-10T09:31:27.101,release,character
2026-08-10T09:31:27.183,press,character
2026-08-10T09:31:27.297,press,special
2026-08-10T09:31:27.316,release,character
2026-08-10T09:31:27.366,release,special
2026-08-10T09:31:27.722,press,character
2026-08-10T09:31:27.796,release,character
2026-08-10T09:31:27.947,press,special
2026-08-10T09:31:28.055,release,special
2026-08-10T09:31:28.158,press,character
2026-08-10T09:31:28.286,press,character
2026-08-10T09:31:28.300,release,character
2026-08-10T09:31:28.444,release,character
2026-08-10T09:31:28.460,press,special
2026-08-10T09:31:28.544,release,special
2026-08-10T09:31:28.838,press,character
2026-08-10T09:31:28.919,release,character
2026-08-10T09:31:29.252,press,character
2026-08-10T09:31:29.382,release,character
2026-08-10T09:31:29.503,press,character
2026-08-10T09:31:29.594,press,special
2026-08-10T09:31:29.633,release,character
2026-08-10T09:31:29.678,release,special
2026-08-10T09:31:30.204,press,character
2026-08-10T09:31:30.364,release,character
2026-08-10T09:31:30.454,press,character
2026-08-10T09:31:30.608,release,character
2026-08-10T09:31:30.684,press,character
2026-08-10T09:31:30.784,release,character
2026-08-10T09:31:30.958,press,character
2026-08-10T09:31:31.035,release,character
2026-08-10T09:31:31.118,press,character
2026-08-10T09:31:31.218,release,character
2026-08-10T09:31:31.526,press,character
2026-08-10T09:31:31.638,release,character
2026-08-10T09:31:31.752,press,character
2026-08-10T09:31:31.854,release,character
2026-08-10T09:31:31.996,press,character
2026-08-10T09:31:32.073,release,character
2026-08-10T09:31:32.145,press,special
2026-08-10T09:31:32.243,release,special
2026-08-10T09:31:32.322,press,character
2026-08-10T09:31:32.434,press,special
2026-08-10T09:31:32.443,release,character
2026-08-10T09:31:32.513,release,special
2026-08-10T09:31:33.008,press,character
